experience_id,full_option_code,environment_type,secondary_environment,primary_experience_type,secondary_experience_types,physical_intensity,estimated_duration_hours,ideal_group_type,family_friendly,requires_guide,authenticity_level,luxury_level,cultural_immersion_level,weather_dependent,indoor_activity,includes_food,includes_transport,accessibility_friendly,semantic_tags,unique_selling_points,experience_mood,target_interests,best_seasons,special_occasions,one_line_summary,bussines_description,ideal_timing
01561ebd-3dc0-452d-92d7-d0cd2ff5e266,CPEEXCHETRAEPTI06,jungle,,culture,"[""educational""]",moderate,15,any,TRUE,TRUE,5,4,3,FALSE,FALSE,FALSE,TRUE,TRUE,"[""calakmul"",""maya_culture"",""archaeological_site"",""jungle"",""history"",""ruins"",""excursion"",""campeche"",""cultural_heritage"",""nature""]","[""Visit to the ancient Mayan city of Calakmul"",""Full-day immersive cultural experience"",""Includes guided tour of archaeological ruins""]","[""educational"",""adventurous""]","[""maya_culture"",""archaeology"",""history"",""nature""]","[""dry season""]",[],Full-day guided tour exploring the ancient Mayan city of Calakmul in Campeche.,"Supplier: Chelita Tour
General Description: Title: Magic Calakmul Tour&#160;
Service Details: fullServiceDescription: Tour Calakmul Mágico - 15h - SPA | serviceDescription: Tour Calakmul Mágico | serviceType: Operadora local | destinationName: Campeche Area
Location: address: Fracc. La Cañada, C. Sur, 24090 Campeche, Camp. | locations: Campeche",full_day
018692b5-b71a-4d9a-82ac-7e4288c87db0,CHEEXBEJILHFDRU02,cenote,,nature,"[""adventure"",""culture""]",moderate,7,any,TRUE,TRUE,4,3,3,FALSE,FALSE,TRUE,TRUE,TRUE,"[""cenote"",""jungle"",""wildlife"",""nature"",""adventure"",""community_initiative"",""virgin_jungle"",""regional_meal"",""quintana_roo"",""mexico""]","[""Community-led conservation of cenotes"",""Exploration of virgin jungle and wildlife"",""Authentic regional meal with community host"",""Visit to three uniquely shaped cenotes""]","[""adventurous"",""connected"",""tranquil"",""educational""]","[""nature"",""wildlife"",""cultural preservation"",""eco-tourism"",""regional cuisine""]","[""dry season"",""winter""]","[""educational trip"",""family outing"",""eco-tourism experience""]",Explore pristine cenotes and virgin jungle with community-led conservation in Chemuyil,"Supplier: Bejil Ha
General Description: Title: The Ancestral Waters of Chemuyil | Description: Today you will arrive at the community of Chemuyil, where your local guide will be waiting to welcome you. This project was started by five young people from the community of Chemuyil who seek to raise awareness and preserve the cenotes where they used to live and play during their childhood. Their initiative allows visitors to explore virgin jungles, discover wildlife and be one with nature.

This experience of approximately 7 hours combines transportation in a vehicle with a walk through the jungle. You will visit three cenotes of different shapes and sizes. This adventure invites you to connect, observe and enjoy the magic and tranquility of these sites. You will appreciate from a different perspective all the gifts that nature offers us. Before heading back, you will take a break and enjoy a snack of seasonal fruits and water. To end the excursion, you will visit the home of a community host to enjoy a delicious regional meal.
Service Details: fullServiceDescription: Las Aguas Ancestrales - 6h - SPA | serviceDescription: Las Aguas Ancestrales | serviceType: Operadora local | destinationName: Quintana Roo
Location: address: Chemuyil, Quintana Roo, México https://goo.gl/maps/sPu44g5EoCQ2taSM8 | locations: Chemuyil",full_day
01a219c3-ae1c-4316-be3d-e572f7e2d9ea,PLCEXTURQUEESTI01,cenote,,adventure,"[""nature""]",moderate,4,any,TRUE,TRUE,5,4,3,TRUE,FALSE,FALSE,TRUE,TRUE,"[""snorkeling"",""cenote"",""dos_ojos"",""quintana_roo"",""crystal_waters"",""geological_formations"",""freshwater_fish"",""bat_cave"",""stalactites"",""stalagmites""]","[""Interconnected cenotes with crystal waters"",""Snorkeling in the 'second eye' for tranquility"",""Exploration of the 'Bat Cave' with midwater hallway"",""Educational experience on Riviera Maya history and legends""]","[""adventurous"",""relaxing"",""educational""]","[""nature"",""adventure"",""geology"",""snorkeling"",""cultural_landmarks""]","[""dry season (winter to spring)""]",[],Explore Quintana Roo's stunning interconnected cenotes and underwater caves in a 4-hour snorkeling &,"Supplier: Turquesa tours
General Description: Title: Dos Ojos: Quintana Roo’s wonders in snorkeling | Description: Today, your local guide in English will pick you up to join a group of travelers to take you on a tour of approximately four hours to learn about the Dos Ojos Cenote, which has two interconnected cenotes of crystal waters. On your way to the cenotes, there will be an explanation concerning the Riviera Maya history, legends, and land particularities. Once at your destination, there will be an introduction to this place’s facilities (services, showers, etc.) along with the snorkeling explanation in the “second eye” since in the first one, you will only enjoy the tranquility of this place as long as you refresh and relax; snorkeling will let you observe geological formations and the transparency of the water, home for freshwater fish. If you like adventure, you will enter a midwater hallway to access the famous “Bat Cave”; finally, you will appreciate stalactites and stalagmites in a dry cave.
Service Details: fullServiceDescription: Snorkel in 1 cenote: 2 ojos - 4h - ENG | serviceDescription: Snorkel in 1 cenote: 2 ojos | serviceType: Operadora local | destinationName: Quintana Roo
Location: address: Playa del Carmen, Quintana Roo, México | locations: Playa del Carmen, Cozumel, Puerto Morelos",full_day
01c2428b-58bf-4292-ae6e-534a676cd279,UXMENMAYECOASFO01,city,,culture,"[""educational""]",low,2,any,TRUE,TRUE,5,3,3,FALSE,FALSE,FALSE,FALSE,TRUE,"[""Uxmal"",""archaeological_site"",""Mayan_culture"",""Yucatan"",""Mérida"",""history"",""ancient_ruins"",""cultural_heritage"",""UNESCO_site"",""Mexican_culture""]","[""UNESCO World Heritage Site"",""Impressive Mayan architecture"",""Historical significance in Yucatan"",""Guided tour included""]","[""educational"",""enriching"",""cultural""]","[""Mayan_culture"",""history"",""archaeology"",""heritage""]","[""dry season"",""winter""]","[""educational trip"",""cultural exploration""]",Explore the ancient Mayan city of Uxmal with guided insights into its history and architecture.,"Supplier: Mayan Ecotours
Service Details: fullServiceDescription: Archaelogical Site of Uxmal Entrance fee for foreigners | serviceDescription: Archaelogical Site of Uxmal Entrance fee for foreigners | serviceType: Operadora local | destinationName: Yucatan
Location: address: Mérida, Yuc., México | locations: Mérida",morning
0248eb43-c51f-499d-a922-f126896f4471,MIDGUXOCHITWALME4,city,,culture,"[""educational""]",low,4,any,TRUE,TRUE,5,4,4,FALSE,FALSE,FALSE,FALSE,TRUE,"[""walking_tour"",""merida"",""yucatan"",""historic_center"",""cultural_heritage"",""mayans"",""colonial_architecture"",""market"",""cathedral"",""mural_art""]","[""Exploration of Mérida's historic streets"",""Visit to the first cathedral in Continental America"",""Murals depicting Yucatán's history by Fernando Castro Pacheco"",""Architectural gem Casa Montejo Museum""]","[""educational"",""cultural"",""enriching""]","[""history"",""architecture"",""mayans"",""colonial_culture"",""art""]","[""winter"",""spring""]","[""cultural appreciation"",""educational trip""]","Explore Mérida's historic streets, architecture, and rich cultural heritage in a 4-hour guided tour.","Supplier: Xóchitl del Rosario
General Description: Title: Walking tour of the historic centre of Mérida | Description: Today, you will embark on a walking tour of approximately four hours with your English-speaking local guide. Together, you will explore the streets of Mérida, known as the White City, built on the ancient Mayan city of Ichcaanzihó, also called T|Hó. The first stop will be the Lucas de Gálvez Market, where you can observe the daily life of the locals as you wander through this vibrant space. Next, you will visit the Cathedral of San Ildefonso, built in 1562, the first cathedral in Continental America and a symbol of the region’s historical and architectural richness.

As the tour continues, you will head to the Government Palace, home to a series of monumental murals by the artist Fernando Castro Pacheco, depicting the history of Yucatán from pre-Hispanic times to the struggle for social justice. The final stop will be the Casa Montejo Museum, a Renaissance plateresque architectural gem from the 16th century, built between 1542 and 1549 by order of Francisco de Montejo. At the end of the tour, you can choose to continue exploring the city with your guide|s recommendations or return to your hotel on your own.
Service Details: fullServiceDescription: Walking tour of Merida's historic center - 4h - ENG | serviceDescription: Walking tour of Merida's historic center | serviceType: Guía | destinationName: Yucatan
Location: address: Mérida, Yucatán, México | locations: Mérida",full_day
0260099a-4b8b-4228-acea-18926c2ee892,PBCEXUNLIMIEPTI03,desert,,nature,"[""culture""]",moderate,13,any,TRUE,TRUE,5,4,3,FALSE,FALSE,FALSE,TRUE,TRUE,"[""biosphere_reserve"",""tehuacan"",""UNESCO_heritage"",""cacti"",""salt_hills"",""mountains"",""canyons"",""xerophilous_shrubs"",""semi_arid"",""flora_fauna"",""conservation"",""environmental_protection""]","[""UNESCO World Heritage Site"",""Rich natural and cultural history"",""Spectacular semi-arid landscape"",""Ancient columnar cacti and salt hills""]","[""adventurous"",""educational"",""awe-inspiring""]","[""natural_history"",""conservation"",""flora_and_fauna"",""geology"",""cultural_history""]","[""spring"",""fall""]",[],Full-day tour exploring Tehuacán Biosphere Reserve's stunning landscapes and history,"Supplier: Unlimited experiences
General Description: Title: Tehuacán Biosphere Reserve Tour | Description: Today, your transportation and Spanish-speaking local guide will pick you up for a 13-hour tour of the Tehuacán Biosphere Reserve. The tour will begin in the municipality of Tehuacán, approximately 2 hours away from Puebla. The first stop will be at the Museum of Evolution, which houses a collection of fossils, replicas, and archaeological artefacts that showcase the region's rich natural and cultural history. Here, you will learn about the evolution of species, local flora and fauna, and the importance of conservation and environmental protection. Afterwards, you will visit the Zocalo of Tehuacán and the Church of Carmen.


Next, you will return to the transportation and head to the Tehuacán Biosphere Reserve, which is less than 50 minutes away by transport. This protected area covers approximately 490,186 hectares and has been recognized as a UNESCO World Heritage Site. During the journey, you will have the opportunity to admire ancient columnar cacti and salt hills. Once in reserve, you will embark on a tour to enjoy the impressive landscape, including mountains, canyons, ravines, xerophilous shrubs, and species adapted to the semi-arid conditions of the region. After the tour, you will return to your hotel.
Service Details: fullServiceDescription: Tehuacan Biosphere Reserve - 13h - SPA | serviceDescription: Tehuacan Biosphere Reserve | serviceType: Operadora local, Transporte | destinationName: Puebla Area
Location: address: Av. Don Juan de Palafox y. Mendoza entre calle Ayuntamiento y Calle 2 Norte, Centro histórico de Puebla, 72000 Heroica Puebla de Zaragoza, Pue. | locations: Puebla",full_day
0291a712-761a-456c-923a-b63b390f8d3a,TUYEXMEXKANEPTI01,lake,,wellness,[],low,10,any,TRUE,TRUE,5,4,2,FALSE,FALSE,FALSE,TRUE,TRUE,"[""lagoon"",""bacalar"",""spa"",""relaxation"",""water"",""nature"",""quintana_roo"",""tulum"",""local_service""]","[""Full-day lagoon spa experience"",""Located in Quintana Roo"",""Includes local operator services""]","[""relaxing"",""calming"",""refreshing""]","[""wellness"",""water_activities"",""nature"",""relaxation""]","[""spring"",""summer"",""fall""]",[],Relaxing full-day spa experience at Bacalar Lagoon in Quintana Roo,"Supplier: México Kan Tours
General Description: Title: Experience at the Bacalar Lagoon
Service Details: fullServiceDescription: Bacalar lagoon - 10h - SPA | serviceDescription: Bacalar lagoon | serviceType: Operadora local | destinationName: Quintana Roo
Location: address: Avenida Tulum S/N. Entre Orion y, C. Centauro Sur, Centro, 77760 Tulum, Q.R. | locations: Tulum, Oaxaca de Juárez",full_day
02bdc681-5df5-4fee-b5a1-34ddf2b00fa6,OCOEXNAJULOCLAYWS,jungle,,culture,"[""educational""]",low,2,any,TRUE,FALSE,5,4,3,FALSE,FALSE,FALSE,FALSE,TRUE,"[""clay_workshop"",""lacandon_culture"",""chiapas"",""jungle"",""artisanship"",""regional_resources"",""traditional_crafts"",""educational"",""cultural_immersion""]","[""Authentic Lacandon clay crafting experience"",""Located in pristine Nahá jungle"",""Supports local community and sustainable practices""]","[""educational"",""creative"",""immersive""]","[""indigenous_culture"",""traditional_crafts"",""artisanship"",""sustainable tourism""]","[""dry season"",""winter""]",[],Hands-on Lacandon clay crafting experience in Chiapas jungle,"Supplier: Naha Jungle Lodge
General Description: Title: Handmade clay workshop in Nahá. | Description: Nahá Jungle Lodge is a refuge located in the depths of the Lacandon jungle, surrounded by fertile lagoons that inspire the community to protect its free spirit. It features 10 rooms that have been designed using regional resources responsibly and nature-friendly, and are decorated with elements representative of the Lacandon culture.
Service Details: fullServiceDescription: Clay workshop - 2h - SPA | serviceDescription: Clay workshop | serviceType: Centro Ecoturístico | destinationName: Chiapas
Location: address: Nahá, Chiapas | locations: Nahá",full_day
030616bc-334c-40a2-b57b-4ffe98bf23a6,XOHEXOLINTLEPTN06,lake,,nature,"[""adventure""]",moderate,3,any,TRUE,TRUE,5,3,2,TRUE,FALSE,FALSE,FALSE,TRUE,"[""kayak"",""xochimilco"",""sunrise"",""wetlands"",""birdwatching"",""flora"",""fauna"",""ecological_reserve"",""mexico_city""]","[""Sunrise kayaking experience in Xochimilco"",""Birdwatching with native species"",""Scenic views of hills and volcanoes"",""Expert guide for species identification""]","[""relaxing"",""serene"",""adventurous""]","[""nature"",""birdwatching"",""ecotourism"",""outdoor_adventure""]","[""spring"",""fall""]",[],Kayak at sunrise through Xochimilco’s wetlands with birdwatching and scenic views,"Supplier: OlinTlalli
General Description: Title: Sunrise in Xochimilco | Description: On this tour, you will have the opportunity to paddle a kayak through the canals of Xochimilco just before sunrise. The calm and serenity of the reserve will envelop you as you navigate towards the Apatlaco canal. In addition, you will enjoy a view of the hills and volcanoes in the distance, all illuminated by the first rays of daylight.

As you paddle the kayak, you will be surrounded by a myriad of birds that begin to wake up and fly around the area. Your English-speaking guide will help you identify and learn about the species that inhabit the Xochimilco Ecological Reserve. During the three-hour tour, you will be able to admire the great variety of flora and fauna that inhabit the wetlands.
Service Details: fullServiceDescription: Xochimilco at sunrise by kayak - 3h - ENG | serviceDescription: Xochimilco at sunrise by kayak | serviceType: Operadora local | destinationName: Mexico Area
Location: address: Xochimilco, CDMX, México | locations: Mexico City",morning
030a0ae5-8d61-4cf9-9a75-3c2a77da9605,GDLEXSENTUREPTI02,city,,culture,"[""educational""]",low,3,any,TRUE,TRUE,5,4,4,FALSE,TRUE,TRUE,FALSE,TRUE,"[""day_of_the_dead"",""tzompantli"",""skull_mosaic"",""offering"",""cultural_workshop"",""guadalajara"",""mexico"",""traditional_bread"",""hot_chocolate"",""indigenous_culture""]","[""Interactive workshop on Tzompantli history"",""Create a personalized skull offering"",""Experience traditional Mexican cuisine""]","[""educational"",""cultural"",""respectful""]","[""indigenous_culture"",""mexican_traditions"",""history"",""art""]","[""fall"",""winter""]","[""cultural appreciation"",""educational experience""]",Learn and create a Tzompantli skull mosaic celebrating Mexican heritage,"Supplier: Sensaciones Turísticas
General Description: Title: Day of the Dead: Tzompantli Workshop | Description: Today you will experience an approximately 3-hour activity related to the Day of the Dead celebration. Along with your local English-speaking guide, you will participate in a workshop where the meaning of Tzompantli will be explained. Tzompantli was a kind of altar or platform where the skulls of victims were displayed as a symbol of power and to honor the gods. This historical event precedes the current Day of the Dead festival.

After the explanation, you will move to the working area to decorate a clay mosaic representing a skull. You can dedicate this skull as an offering to one of your departed loved ones. The skull will be placed on the wall of the Tzompantli. At the end of the workshop, you will enjoy a tasting of local dishes and a traditional pan de muerto (bread of the dead) accompanied by a delicious hot chocolate.
Service Details: fullServiceDescription: Tzompantli workshop - 1.5h - ENG | serviceDescription: Tzompantli workshop | serviceType: Operadora local | destinationName: Jalisco
Location: address: Guadalajara, Jalisco, México | locations: Guadalajara",full_day
